domain,record_type,ip_address
justgay.ws,AAAA,2001:db8:1000::fa
jvyftrwlmc.ws,A,64.70.19.203
kazan.ws,A,91.201.40.181
khmer24.ws,A,104.21.22.82
khmer24.ws,A,172.67.203.121
khmer24.ws,AAAA,2606:4700:3035::6815:1652
khmer24.ws,AAAA,2606:4700:3036::ac43:cb79
kickass.ws,A,203.0.113.250
kickass.ws,AAAA,2001:db8:1000::fa
kidzone.ws,A,104.21.20.68
kidzone.ws,A,172.67.191.218
kidzone.ws,AAAA,2606:4700:3034::ac43:bfda
kidzone.ws,AAAA,2606:4700:3036::6815:1444
kino-film.ws,A,64.70.19.203
kino-go.ws,A,64.70.19.203
kinokong.ws,A,64.70.19.203
kino.ws,A,172.241.213.96
kiss-anime.ws,A,104.21.64.35
kiss-anime.ws,A,172.67.175.231
kiss-anime.ws,AAAA,2606:4700:3030::6815:4023
kiss-anime.ws,AAAA,2606:4700:3031::ac43:afe7
kittyland.ws,A,203.0.113.250
kittyland.ws,AAAA,2001:db8:1000::fa
kmsauto.ws,A,157.90.33.73
kmsauto.ws,A,157.90.33.74
konoply.ws,A,64.70.19.203
kooora.ws,A,34.250.27.149
kooora.ws,A,34.254.9.122
kooora.ws,A,63.34.187.143
kruibhez.ws,A,64.70.19.203
lafa.ws,A,203.0.113.250
lafa.ws,AAAA,2001:db8:1000::fa
lakeland.ws,A,35.185.22.34
leet.ws,A,104.21.45.7
leet.ws,A,172.67.207.68
leet.ws,AAAA,2606:4700:3030::ac43:cf44
leet.ws,AAAA,2606:4700:3034::6815:2d07
legalizer.ws,A,104.21.40.203
legalizer.ws,A,172.67.157.6
legalizer.ws,AAAA,2606:4700:3034::ac43:9d06
legalizer.ws,AAAA,2606:4700:3035::6815:28cb
legalrc.ws,A,104.21.76.47
legalrc.ws,A,172.67.187.175
legalrc.ws,AAAA,2606:4700:3034::6815:4c2f
legalrc.ws,AAAA,2606:4700:3037::ac43:bbaf
leonbet.ws,A,172.236.116.61
leonbet.ws,A,172.237.159.40
leonbet.ws,A,172.238.172.130
lgt.ws,A,142.44.188.61
libre.ws,A,172.105.0.11
libre.ws,AAAA,2600:3c04::f03c:92ff:febc:de93
livesport.ws,A,104.21.52.112
livesport.ws,A,172.67.198.53
livesport.ws,AAAA,2606:4700:3030::6815:3470
livesport.ws,AAAA,2606:4700:3031::ac43:c635
lordfilm0.ws,A,64.70.19.203
lordfilm1.ws,A,64.70.19.203
lordfilms.ws,A,64.70.19.203
lord-film.ws,A,64.70.19.203
lordfilm.ws,A,64.70.19.34
lord-serials.ws,A,203.0.113.250
lord-serials.ws,AAAA,2001:db8:1000::fa
lordserial.ws,A,203.0.113.250
lordserial.ws,AAAA,2001:db8:1000::fa
loveread.ws,A,172.236.116.61
loveread.ws,A,172.237.159.40
loveread.ws,A,172.238.172.130
loyal.ws,A,136.243.144.78
l-virgin.ws,A,203.0.113.250
l-virgin.ws,AAAA,2001:db8:1000::fa
macx.ws,A,104.21.7.166
macx.ws,A,172.67.187.237
macx.ws,AAAA,2606:4700:3033::6815:7a6
macx.ws,AAAA,2606:4700:3037::ac43:bbed
makehook.ws,A,104.21.41.195
makehook.ws,A,172.67.166.213
makehook.ws,AAAA,2606:4700:3030::6815:29c3
makehook.ws,AAAA,2606:4700:3037::ac43:a6d5
marathonbet.ws,A,64.70.19.203
mbob.ws,A,104.21.94.207
mbob.ws,A,172.67.140.12
mbob.ws,AAAA,2606:4700:3032::6815:5ecf
mbob.ws,AAAA,2606:4700:3033::ac43:8c0c
mediamanager.ws,A,104.26.14.224
mediamanager.ws,A,104.26.15.224
mediamanager.ws,A,172.67.72.85
mediamanager.ws,AAAA,2606:4700:20::681a:ee0
mediamanager.ws,AAAA,2606:4700:20::681a:fe0
mediamanager.ws,AAAA,2606:4700:20::ac43:4855
medjugorje.ws,A,104.21.91.95
medjugorje.ws,A,172.67.214.235
medjugorje.ws,AAAA,2606:4700:3034::ac43:d6eb
medjugorje.ws,AAAA,2606:4700:3036::6815:5b5f
megaporn.ws,A,203.0.113.250
megaporn.ws,AAAA,2001:db8:1000::fa
mentorweb.ws,A,200.201.216.234
meo.ws,A,78.46.243.11
meo.ws,AAAA,2a01:4f8:1c17:4213::1
metrolagu.ws,A,104.21.36.130
metrolagu.ws,A,172.67.194.96
metrolagu.ws,AAAA,2606:4700:3033::6815:2482
metrolagu.ws,AAAA,2606:4700:3037::ac43:c260
mirai.ws,A,104.26.4.87
mirai.ws,A,104.26.5.87
mirai.ws,A,172.67.71.212
mirai.ws,AAAA,2606:4700:20::681a:457
mirai.ws,AAAA,2606:4700:20::681a:557
mirai.ws,AAAA,2606:4700:20::ac43:47d4
mirknig.ws,A,104.21.80.220
mirknig.ws,A,172.67.187.73
mirknig.ws,AAAA,2606:4700:3034::6815:50dc
mirknig.ws,AAAA,2606:4700:3036::ac43:bb49
mobile-home.ws,A,87.118.100.63
monkrus.ws,A,95.163.244.136
mops.ws,A,13.248.243.5
mops.ws,A,76.223.105.230
mp3cielo.ws,A,64.70.19.203
musicz.ws,A,64.70.19.203
my-ba.ws,A,194.5.98.26
myfootball.ws,A,104.21.14.198
myfootball.ws,A,172.67.160.78
myfootball.ws,AAAA,2606:4700:3030::ac43:a04e
myfootball.ws,AAAA,2606:4700:3031::6815:ec6
mypets.ws,A,132.226.118.109
nabd.ws,A,3.81.254.172
naifei.ws,A,64.70.19.203
nass.ws,A,64.70.19.203
navigator.ws,A,64.70.19.203
nerv.ws,A,149.28.55.230
netcine.ws,A,203.0.113.250
netcine.ws,AAAA,2001:db8:1000::fa
newserial.ws,A,203.0.113.250
newserial.ws,AAAA,2001:db8:1000::fa
nnm-club.ws,A,179.43.141.93
nnm-club.ws,AAAA,2a01:d0:a580:2:6e6e:6d2d:636c:7562
nopbreak.ws,A,103.224.182.251
nudepics.ws,A,203.0.113.250
nudepics.ws,AAAA,2001:db8:1000::fa
nude-teens.ws,A,64.70.19.203
nus.edu.ws,A,35.213.213.170
nvda.ws,A,67.199.248.12
nvda.ws,A,67.199.248.13
nwps.ws,A,104.21.63.80
nwps.ws,A,172.67.144.55
nwps.ws,AAAA,2606:4700:3037::6815:3f50
nwps.ws,AAAA,2606:4700:3037::ac43:9037
nzbfinder.ws,A,104.26.12.31
nzbfinder.ws,A,104.26.13.31
nzbfinder.ws,A,172.67.75.172
nzbfinder.ws,AAAA,2606:4700:20::681a:c1f
nzbfinder.ws,AAAA,2606:4700:20::681a:d1f
nzbfinder.ws,AAAA,2606:4700:20::ac43:4bac
oane.ws,A,89.108.95.153
officeshoes.ws,A,104.21.81.15
officeshoes.ws,A,172.67.137.123
officeshoes.ws,AAAA,2606:4700:3030::ac43:897b
officeshoes.ws,AAAA,2606:4700:3037::6815:510f
olb88.ws,A,104.21.26.13
olb88.ws,A,172.67.135.33
olb88.ws,AAAA,2606:4700:3031::6815:1a0d
olb88.ws,AAAA,2606:4700:3033::ac43:8721
omegle.ws,A,104.21.93.212
omegle.ws,A,172.67.214.201
omegle.ws,AAAA,2606:4700:3030::6815:5dd4
omegle.ws,AAAA,2606:4700:3033::ac43:d6c9
oncloud.ws,A,77.74.177.56
oneic.ws,A,15.197.148.33
oneic.ws,A,3.33.130.190
onion.ws,A,203.0.113.250
onion.ws,AAAA,2001:db8:1000::fa
o-nline.ws,A,64.70.19.203
onlyfilmz.ws,A,64.70.19.203
onlyf.ws,A,203.0.113.250
onlyf.ws,AAAA,2001:db8:1000::fa
oregontrail.ws,A,64.225.10.143
otsdkstub.ws,A,172.234.24.211
otsdkstub.ws,A,172.239.57.117
outerworld.ws,A,208.109.200.57
pacn.ws,A,91.197.228.81
paiji.ws,A,172.236.116.61
paiji.ws,A,172.237.159.40
paiji.ws,A,172.238.172.130
pane.ws,A,64.70.19.203
parallax.ws,A,12.161.104.5
pastagigi.ws,A,64.70.19.203
peet.ws,A,185.199.108.153
peet.ws,A,185.199.109.153
peet.ws,A,185.199.110.153
peet.ws,A,185.199.111.153
peet.ws,AAAA,2606:50c0:8000::153
peet.ws,AAAA,2606:50c0:8001::153
peet.ws,AAAA,2606:50c0:8002::153
peet.ws,AAAA,2606:50c0:8003::153
pelisgratishd.ws,A,203.0.113.250
pelisgratishd.ws,AAAA,2001:db8:1000::fa
pelisplus.ws,A,203.0.113.250
pelisplus.ws,AAAA,2001:db8:1000::fa
photoshoptutorials.ws,A,104.21.42.116
photoshoptutorials.ws,A,172.67.161.169
photoshoptutorials.ws,AAAA,2606:4700:3030::ac43:a1a9
photoshoptutorials.ws,AAAA,2606:4700:3034::6815:2a74
picturegalery.ws,A,64.70.19.203
pinnaclefamily.ws,A,64.70.19.203
pinnaclelivingsolutions.ws,A,64.70.19.203
pladur.ws,A,64.70.19.203
playblog.ws,A,203.0.113.250
playblog.ws,AAAA,2001:db8:1000::fa
play-fortuna.ws,A,64.70.19.203
playfortuna.ws,A,64.70.19.203
playsfortuna.ws,A,64.70.19.203
pleer.ws,A,172.236.116.61
pleer.ws,A,172.237.159.40
pleer.ws,A,172.238.172.130
plustv.ws,A,64.70.19.203
pokerdoma.ws,A,64.70.19.203
pokerdom.ws,A,64.70.19.203
poophd.ws,A,203.0.113.250
poophd.ws,AAAA,2001:db8:1000::fa
pornindian.ws,A,203.0.113.250
pornindian.ws,AAAA,2001:db8:1000::fa
pornotube.ws,A,203.0.113.250
pornotube.ws,AAAA,2001:db8:1000::fa
pornwatch.ws,A,203.0.113.250
pornwatch.ws,AAAA,2001:db8:1000::fa
prisma.ws,A,31.130.148.209
provisorio.ws,A,186.202.19.203
pvsz.ws,A,64.70.19.203
qpic.ws,A,193.242.210.19
qpic.ws,AAAA,2001:67c:2ae8:100:193:242:210:19
raidrush.ws,A,203.0.113.250
raidrush.ws,AAAA,2001:db8:1000::fa
rainbow-bet.ws,A,64.70.19.203
rainbo.ws,A,23.179.32.185
raped.ws,A,203.0.113.250
raped.ws,AAAA,2001:db8:1000::fa
raws.ws,A,172.236.116.61
raws.ws,A,172.237.159.40
raws.ws,A,172.238.172.130
reelemperor.ws,A,172.236.116.61
reelemperor.ws,A,172.237.159.40
reelemperor.ws,A,172.238.172.130
reinsurancene.ws,A,104.21.15.14
reinsurancene.ws,A,172.67.161.2
restoplace.ws,A,87.242.111.42
rmbl.ws,A,172.98.56.108
rojadirectatv.ws,A,104.21.24.143
rojadirectatv.ws,A,172.67.219.61
rojadirectatv.ws,AAAA,2606:4700:3032::ac43:db3d
rojadirectatv.ws,AAAA,2606:4700:3037::6815:188f
rosasidan.ws,A,99.198.113.66
ruangbokep.ws,A,203.0.113.250
ruangbokep.ws,AAAA,2001:db8:1000::fa
rumedia.ws,A,54.215.31.113
salda.ws,A,188.130.132.221
samlab.ws,A,185.26.122.80
samoaobserver.ws,A,162.159.140.98
samoaobserver.ws,A,172.66.0.96
samoaonline.ws,A,203.0.113.250
samoaonline.ws,AAAA,2001:db8:1000::fa
sanet.ws,A,203.0.113.250
sanet.ws,AAAA,2001:db8:1000::fa
sbux.ws,A,172.236.108.16
sbux.ws,A,172.239.193.153
sbux.ws,A,172.239.194.103
scat.ws,A,203.0.113.250
scat.ws,AAAA,2001:db8:1000::fa
sck-dns.ws,A,64.70.19.203
se7en.ws,A,104.26.2.87
se7en.ws,A,104.26.3.87
se7en.ws,A,172.67.74.169
se7en.ws,AAAA,2606:4700:20::681a:257
se7en.ws,AAAA,2606:4700:20::681a:357
se7en.ws,AAAA,2606:4700:20::ac43:4aa9
seized.ws,A,203.0.113.250
seized.ws,AAAA,2001:db8:1000::fa
selector-mirror.ws,A,64.70.19.203
selector.ws,A,64.70.19.203
sellektor.ws,A,64.70.19.203
semena-konopli.ws,A,203.0.113.250
semena-konopli.ws,AAAA,2001:db8:1000::fa
serials.ws,A,104.247.81.99
setiapharibegitujadinya.ws,A,64.70.19.203
sex-studentki.ws,A,104.21.69.48
sex-studentki.ws,A,172.67.204.89
sex-studentki.ws,AAAA,2606:4700:3037::6815:4530
sex-studentki.ws,AAAA,2606:4700:3037::ac43:cc59
sexvid.ws,A,203.0.113.250
sexvid.ws,AAAA,2001:db8:1000::fa
shamela.ws,A,104.21.35.49
shamela.ws,A,172.67.213.231
shamela.ws,AAAA,2606:4700:3035::6815:2331
shamela.ws,AAAA,2606:4700:3036::ac43:d5e7
sharewood.ws,A,104.21.56.222
sharewood.ws,A,172.67.156.33
sharewood.ws,AAAA,2606:4700:3032::ac43:9c21
sharewood.ws,AAAA,2606:4700:3033::6815:38de
shiksha.ws,A,161.58.94.25
shinigami.ws,A,64.70.19.203
